Date : 2019-11-19 02:27:14
Directory : /Users/flatironschool/Development/code/mod5project/bugtracker
Total : 109 files,  16337 codes, 699 comments, 654 blanks, all 17690 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/models/user_project.rb                             | Ruby       |          4 |          0 |          1 |          5 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/serializers/user_serializer.rb                     | Ruby       |          3 |          0 |          1 |          4 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/views/layouts/mailer.html.erb                      | Ruby ERB   |         11 |          1 |          2 |         14 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/app/views/layouts/mailer.text.erb                      | Ruby ERB   |          1 |          0 |          1 |          2 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config.ru                                              | Ruby       |          2 |          1 |          3 |          6 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/application.rb                                  | Ruby       |         18 |         12 |          6 |         36 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/boot.rb                                         | Ruby       |          3 |          0 |          2 |          5 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/cable.yml                                       | YAML       |          8 |          0 |          3 |         11 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/database.yml                                    | YAML       |         15 |         61 |         10 |         86 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/environment.rb                                  | Ruby       |          2 |          2 |          2 |          6 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/environments/development.rb                     | Ruby       |         22 |         17 |         16 |         55 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/environments/production.rb                      | Ruby       |         20 |         43 |         23 |         86 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/environments/test.rb                            | Ruby       |         16 |         19 |         12 |         47 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/application_controller_renderer.rb | Ruby       |          0 |          7 |          2 |          9 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/backtrace_silencers.rb             | Ruby       |          0 |          5 |          3 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/cors.rb                            | Ruby       |          8 |          4 |          5 |         17 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/filter_parameter_logging.rb        | Ruby       |          1 |          2 |          2 |          5 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/inflections.rb                     | Ruby       |          0 |         14 |          3 |         17 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/mime_types.rb                      | Ruby       |          0 |          3 |          2 |          5 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/initializers/wrap_parameters.rb                 | Ruby       |          3 |          8 |          4 |         15 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/locales/en.yml                                  | YAML       |          2 |         30 |          2 |         34 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/puma.rb                                         | Ruby       |          5 |         24 |          6 |         35 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/routes.rb                                       | Ruby       |          9 |          1 |          1 |         11 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/spring.rb                                       | Ruby       |          6 |          0 |          1 |          7 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/config/storage.yml                                     | YAML       |          6 |         23 |          6 |         35 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101162927_create_users.rb              | Ruby       |         14 |          0 |          1 |         15 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101165155_create_projects.rb           | Ruby       |          8 |          0 |          2 |         10 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101165711_create_bugs.rb               | Ruby       |         18 |          0 |          1 |         19 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101165734_create_user_bugs.rb          | Ruby       |          9 |          0 |          2 |         11 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/db/migrate/20191101204216_create_user_projects.rb      | Ruby       |          9 |          0 |          2 |         11 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/db/schema.rb                                           | Ruby       |         46 |         12 |          9 |         67 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/db/seeds.rb                                            | Ruby       |         53 |          2 |          9 |         64 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/auth_controller_test.rb               | Ruby       |          3 |          3 |          2 |          8 |
| /Users/flatironschool/Development/code/mod5project/bugtracker/back/test/controllers/bugs_controller_test.rb               | Ruby       |          3 |          3 |          2 |          8 |
